Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778448912,20,GET,GET /api/v1/analytics/summary,0.800000,0.000000,28,50,51,51,57,57,57,57,57,57,57,16,0,28,121.26747006323058,9.857389002718264,1410.9123710004496,75.0
1778448912,20,GET,GET /api/v1/questionnaires/active,4.400000,0.000000,17,20,21,23,25,28,30,30,30,30,30,65,0,18,25.188645692273546,7.076855999912368,130.7612960008555,0.0
1778448912,20,POST,POST /api/v1/auth/login,0.000000,0.000000,1200,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448912,20,POST,POST /api/v1/surveys,3.300000,0.000000,28,34,37,37,52,56,60,60,60,60,60,51,0,33,118.96229956897407,14.55816700035939,2654.601320002257,254.62745098039215
1778448912,20,,Aggregated,10.300000,0.000000,20,25,28,30,37,50,56,57,60,60,60,179,0,28,186.84581471534736,7.076855999912368,2654.601320002257,130.7877094972067
1778448913,20,GET,GET /api/v1/analytics/health-board,1.900000,0.000000,18,19,25,25,29,31,31,31,31,31,31,30,0,19,71.82190709997182,8.061178999923868,1436.493793000409,75.0
1778448913,20,GET,GET /api/v1/analytics/summary,0.600000,0.000000,20,28,51,51,57,57,57,57,57,57,57,16,0,28,121.26747006323058,9.857389002718264,1410.9123710004496,75.0
1778448913,20,GET,GET /api/v1/questionnaires/active,4.600000,0.000000,16,17,20,22,25,30,30,30,30,30,30,66,0,18,25.035193151504217,7.076855999912368,130.7612960008555,0.0
1778448913,20,POST,POST /api/v1/auth/login,0.000000,0.000000,1200,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448913,20,POST,POST /api/v1/surveys,3.100000,0.000000,31,34,37,39,52,60,62,62,62,62,62,57,0,33,110.33689057927532,14.55816700035939,2654.601320002257,254.6315789473684
1778448913,20,,Aggregated,10.200000,0.000000,20,25,29,31,37,52,60,62,62,62,62,189,0,28,178.51861024894995,7.076855999912368,2654.601320002257,133.14285714285714
1778448914,20,GET,GET /api/v1/analytics/health-board,2.000000,0.000000,18,21,25,29,31,31,39,39,39,39,39,32,0,19,69.2203984998514,8.061178999923868,1436.493793000409,75.0
1778448914,20,GET,GET /api/v1/analytics/summary,0.800000,0.000000,20,27,28,28,51,51,51,51,51,51,51,17,0,28,115.72852558888638,9.857389002718264,1410.9123710004496,75.0
1778448914,20,GET,GET /api/v1/questionnaires/active,4.400000,0.000000,15,17,22,22,25,30,30,30,30,30,30,69,0,18,24.676906434805183,7.076855999912368,130.7612960008555,0.0
1778448914,20,POST,POST /api/v1/auth/login,0.000000,0.000000,1200,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448914,20,POST,POST /api/v1/surveys,3.000000,0.000000,30,34,37,39,52,60,62,62,62,62,62,61,0,31,104.37937875436457,13.811923996399855,2654.601320002257,254.63934426229508
1778448914,20,,Aggregated,10.200000,0.000000,21,25,29,31,37,46,56,60,62,62,62,199,0,27,170.63236898013486,7.076855999912368,2654.601320002257,132.7035175879397
1778448915,20,GET,GET /api/v1/analytics/health-board,2.000000,0.000000,19,22,25,29,31,31,39,39,39,39,39,33,0,19,67.63848469684793,8.061178999923868,1436.493793000409,75.0
1778448915,20,GET,GET /api/v1/analytics/summary,0.800000,0.000000,20,27,28,28,51,51,51,51,51,51,51,17,0,28,115.72852558888638,9.857389002718264,1410.9123710004496,75.0
1778448915,20,GET,GET /api/v1/questionnaires/active,4.500000,0.000000,15,17,22,22,25,30,30,30,30,30,30,75,0,17,23.68796977340632,7.076855999912368,130.7612960008555,0.0
1778448915,20,POST,POST /api/v1/auth/login,0.000000,0.000000,1200,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448915,20,POST,POST /api/v1/surveys,3.000000,0.000000,30,34,37,39,52,60,62,62,62,62,62,64,0,31,100.62352923461049,13.811923996399855,2654.601320002257,254.65625
1778448915,20,,Aggregated,10.300000,0.000000,22,26,30,31,37,51,60,62,62,62,62,209,0,26,163.25126136866183,7.076855999912368,2654.601320002257,130.3732057416268
1778448916,20,GET,GET /api/v1/analytics/health-board,2.300000,0.000000,19,22,25,29,31,39,39,39,39,39,39,33,0,19,67.63848469684793,8.061178999923868,1436.493793000409,75.0
1778448916,20,GET,GET /api/v1/analytics/summary,0.700000,0.000000,20,27,28,28,51,51,51,51,51,51,51,18,0,27,110.07821744493009,9.857389002718264,1410.9123710004496,75.0
1778448916,20,GET,GET /api/v1/questionnaires/active,3.700000,0.000000,15,17,20,22,25,30,30,30,30,30,30,80,0,17,23.083731337555946,7.076855999912368,130.7612960008555,0.0
1778448916,20,POST,POST /api/v1/auth/login,0.000000,0.000000,1200,1300,1400,1400,1500,1500,1500,1500,1500,1500,1500,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448916,20,POST,POST /api/v1/surveys,3.300000,0.000000,29,32,34,37,46,60,62,62,62,62,62,68,0,31,96.29661123546933,13.811923996399855,2654.601320002257,254.61764705882354
1778448916,20,,Aggregated,10.000000,0.000000,21,25,28,30,37,46,60,62,62,62,62,219,0,25,156.67534736093077,7.076855999912368,2654.601320002257,129.40182648401827
1778448917,20,GET,GET /api/v1/analytics/health-board,2.500000,0.000000,19,25,29,31,35,39,39,39,39,39,39,34,0,19,66.6728679998949,8.061178999923868,1436.493793000409,75.0
1778448917,20,GET,GET /api/v1/analytics/summary,0.700000,0.000000,25,27,28,28,51,51,51,51,51,51,51,19,0,27,105.60489379005097,9.857389002718264,1410.9123710004496,75.0
1778448917,20,GET,GET /api/v1/questionnaires/active,3.700000,0.000000,14,17,18,20,25,28,30,30,30,30,30,84,0,17,22.451437904800557,7.076855999912368,130.7612960008555,0.0
1778448917,20,POST,POST /api/v1/auth/login,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,20,0,1000,1085.1777546011363,736.4814120010124,1529.259135000757,360.0
1778448917,20,POST,POST /api/v1/surveys,3.500000,0.000000,26,30,33,34,39,46,62,62,62,62,62,73,0,31,91.34845417828143,13.811923996399855,2654.601320002257,254.63013698630138
1778448917,20,,Aggregated,10.400000,0.000000,20,25,28,30,34,39,51,62,62,62,62,230,0,25,150.13601532629528,7.076855999912368,2654.601320002257,129.40434782608696
1778448918,20,GET,GET /api/v1/analytics/health-board,2.200000,0.000000,19,25,29,31,35,39,39,39,39,39,39,34,0,19,66.6728679998949,8.061178999923868,1436.493793000409,75.0
1778448918,20,GET,GET /api/v1/analytics/summary,0.600000,0.000000,25,27,28,28,51,51,51,51,51,51,51,19,0,27,105.60489379005097,9.857389002718264,1410.9123710004496,75.0
